Roll,PCode,Semester,Year,Preference,Confirmed
1851162,BIOT4221,8,2022,3,0
1851162,BIOT4222,8,2022,1,0
1851162,BIOT4223,8,2022,2,0
1851162,CHEN4222,8,2022,4,0
1851162,AEIE4222,8,2022,5,0
1851162,ECEN4223,8,2022,6,0
1851162,ECEN4221,8,2022,7,0
1851162,HMTS4222,8,2022,8,0
1851171,BIOT4221,8,2022,3,0
1851171,BIOT4222,8,2022,1,0
1851171,BIOT4223,8,2022,2,0
1851171,CHEN4222,8,2022,4,0
1851171,AEIE4222,8,2022,5,0
1851171,ECEN4223,8,2022,6,0
1851171,ECEN4221,8,2022,7,0
1851171,HMTS4222,8,2022,8,0
1851237,BIOT4221,8,2022,4,0
1851237,BIOT4222,8,2022,1,0
1851237,BIOT4223,8,2022,2,0
1851237,CHEN4222,8,2022,3,0
1851237,AEIE4222,8,2022,5,0
1851237,ECEN4223,8,2022,6,0
1851237,ECEN4221,8,2022,7,0
1851237,HMTS4222,8,2022,8,0
1851236,BIOT4221,8,2022,2,0
1851236,BIOT4222,8,2022,1,0
1851236,BIOT4223,8,2022,3,0
1851236,CHEN4222,8,2022,4,0
1851236,AEIE4222,8,2022,5,0
1851236,ECEN4223,8,2022,6,0
1851236,ECEN4221,8,2022,7,0
1851236,HMTS4222,8,2022,8,0
1851166,BIOT4221,8,2022,2,0
1851166,BIOT4222,8,2022,1,0
1851166,BIOT4223,8,2022,3,0
1851166,CHEN4222,8,2022,4,0
1851166,AEIE4222,8,2022,5,0
1851166,ECEN4223,8,2022,6,0
1851166,ECEN4221,8,2022,7,0
1851166,HMTS4222,8,2022,8,0
1851015,BIOT4221,8,2022,1,0
1851015,BIOT4222,8,2022,3,0
1851015,BIOT4223,8,2022,4,0
1851015,CHEN4222,8,2022,2,0
1851015,AEIE4222,8,2022,5,0
1851015,ECEN4223,8,2022,6,0
1851015,ECEN4221,8,2022,7,0
1851015,HMTS4222,8,2022,8,0
1851031,BIOT4221,8,2022,1,0
1851031,BIOT4222,8,2022,2,0
1851031,BIOT4223,8,2022,4,0
1851031,CHEN4222,8,2022,3,0
1851031,AEIE4222,8,2022,5,0
1851031,ECEN4223,8,2022,6,0
1851031,ECEN4221,8,2022,7,0
1851031,HMTS4222,8,2022,8,0
1851183,BIOT4221,8,2022,2,0
1851183,BIOT4222,8,2022,1,0
1851183,BIOT4223,8,2022,4,0
1851183,CHEN4222,8,2022,3,0
1851183,AEIE4222,8,2022,5,0
1851183,ECEN4223,8,2022,6,0
1851183,ECEN4221,8,2022,7,0
1851183,HMTS4222,8,2022,8,0
1851233,BIOT4221,8,2022,2,0
1851233,BIOT4222,8,2022,1,0
1851233,BIOT4223,8,2022,4,0
1851233,CHEN4222,8,2022,3,0
1851233,AEIE4222,8,2022,5,0
1851233,ECEN4223,8,2022,6,0
1851233,ECEN4221,8,2022,7,0
1851233,HMTS4222,8,2022,8,0
1851098,BIOT4221,8,2022,2,0
1851098,BIOT4222,8,2022,1,0
1851098,BIOT4223,8,2022,4,0
1851098,CHEN4222,8,2022,3,0
1851098,AEIE4222,8,2022,5,0
1851098,ECEN4223,8,2022,6,0
1851098,ECEN4221,8,2022,7,0
1851098,HMTS4222,8,2022,8,0
1851235,BIOT4221,8,2022,2,0
1851235,BIOT4222,8,2022,1,0
1851235,BIOT4223,8,2022,4,0
1851235,CHEN4222,8,2022,3,0
1851235,AEIE4222,8,2022,5,0
1851235,ECEN4223,8,2022,6,0
1851235,ECEN4221,8,2022,7,0
1851235,HMTS4222,8,2022,8,0
1851173,BIOT4221,8,2022,2,0
1851173,BIOT4222,8,2022,1,0
1851173,BIOT4223,8,2022,4,0
1851173,CHEN4222,8,2022,3,0
1851173,AEIE4222,8,2022,5,0
1851173,ECEN4223,8,2022,6,0
1851173,ECEN4221,8,2022,7,0
1851173,HMTS4222,8,2022,8,0
1851038,BIOT4221,8,2022,3,0
1851038,BIOT4222,8,2022,2,0
1851038,BIOT4223,8,2022,4,0
1851038,CHEN4222,8,2022,1,0
1851038,AEIE4222,8,2022,5,0
1851038,ECEN4223,8,2022,6,0
1851038,ECEN4221,8,2022,7,0
1851038,HMTS4222,8,2022,8,0
1851052,BIOT4221,8,2022,3,0
1851052,BIOT4222,8,2022,2,0
1851052,BIOT4223,8,2022,4,0
1851052,CHEN4222,8,2022,1,0
1851052,AEIE4222,8,2022,5,0
1851052,ECEN4223,8,2022,6,0
1851052,ECEN4221,8,2022,7,0
1851052,HMTS4222,8,2022,8,0
1851145,BIOT4221,8,2022,3,0
1851145,BIOT4222,8,2022,2,0
1851145,BIOT4223,8,2022,4,0
1851145,CHEN4222,8,2022,1,0
1851145,AEIE4222,8,2022,5,0
1851145,ECEN4223,8,2022,6,0
1851145,ECEN4221,8,2022,7,0
1851145,HMTS4222,8,2022,8,0
1851087,BIOT4221,8,2022,3,0
1851087,BIOT4222,8,2022,1,0
1851087,BIOT4223,8,2022,4,0
1851087,CHEN4222,8,2022,2,0
1851087,AEIE4222,8,2022,5,0
1851087,ECEN4223,8,2022,6,0
1851087,ECEN4221,8,2022,7,0
1851087,HMTS4222,8,2022,8,0
1851227,BIOT4221,8,2022,3,0
1851227,BIOT4222,8,2022,1,0
1851227,BIOT4223,8,2022,4,0
1851227,CHEN4222,8,2022,2,0
1851227,AEIE4222,8,2022,5,0
1851227,ECEN4223,8,2022,6,0
1851227,ECEN4221,8,2022,7,0
1851227,HMTS4222,8,2022,8,0
1851230,BIOT4221,8,2022,3,0
1851230,BIOT4222,8,2022,1,0
1851230,BIOT4223,8,2022,4,0
1851230,CHEN4222,8,2022,2,0
1851230,AEIE4222,8,2022,5,0
1851230,ECEN4223,8,2022,6,0
1851230,ECEN4221,8,2022,7,0
1851230,HMTS4222,8,2022,8,0
1851157,BIOT4221,8,2022,4,0
1851157,BIOT4222,8,2022,1,0
1851157,BIOT4223,8,2022,5,0
1851157,CHEN4222,8,2022,2,0
1851157,AEIE4222,8,2022,8,0
1851157,ECEN4223,8,2022,6,0
1851157,ECEN4221,8,2022,7,0
1851157,HMTS4222,8,2022,3,0
1851154,BIOT4221,8,2022,4,0
1851154,BIOT4222,8,2022,2,0
1851154,BIOT4223,8,2022,3,0
1851154,CHEN4222,8,2022,1,0
1851154,AEIE4222,8,2022,8,0
1851154,ECEN4223,8,2022,6,0
1851154,ECEN4221,8,2022,7,0
1851154,HMTS4222,8,2022,5,0
1851084,BIOT4221,8,2022,3,0
1851084,BIOT4222,8,2022,1,0
1851084,BIOT4223,8,2022,4,0
1851084,CHEN4222,8,2022,2,0
1851084,AEIE4222,8,2022,8,0
1851084,ECEN4223,8,2022,6,0
1851084,ECEN4221,8,2022,7,0
1851084,HMTS4222,8,2022,5,0
1851023,BIOT4221,8,2022,5,0
1851023,BIOT4222,8,2022,2,0
1851023,BIOT4223,8,2022,6,0
1851023,CHEN4222,8,2022,4,0
1851023,AEIE4222,8,2022,3,0
1851023,ECEN4223,8,2022,8,0
1851023,ECEN4221,8,2022,7,0
1851023,HMTS4222,8,2022,1,0
1851197,BIOT4221,8,2022,4,0
1851197,BIOT4222,8,2022,5,0
1851197,BIOT4223,8,2022,3,0
1851197,CHEN4222,8,2022,2,0
1851197,AEIE4222,8,2022,6,0
1851197,ECEN4223,8,2022,8,0
1851197,ECEN4221,8,2022,7,0
1851197,HMTS4222,8,2022,1,0
1851065,BIOT4221,8,2022,5,0
1851065,BIOT4222,8,2022,2,0
1851065,BIOT4223,8,2022,4,0
1851065,CHEN4222,8,2022,3,0
1851065,AEIE4222,8,2022,6,0
1851065,ECEN4223,8,2022,8,0
1851065,ECEN4221,8,2022,7,0
1851065,HMTS4222,8,2022,1,0
1851026,BIOT4221,8,2022,5,0
1851026,BIOT4222,8,2022,2,0
1851026,BIOT4223,8,2022,6,0
1851026,CHEN4222,8,2022,3,0
1851026,AEIE4222,8,2022,4,0
1851026,ECEN4223,8,2022,1,0
1851026,ECEN4221,8,2022,8,0
1851026,HMTS4222,8,2022,7,0